_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67d3aa1f4e66d8ea7e359c60,,72.77,93.14,75.97,67.7,91;1;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1741924895000
67cdf09772da54e6423bed6e,,99.19,100,99.19,85.04,124;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1741549719000
67cdf07372da54e6423bec15,,74.4,93,74.4,79.02,93;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1741549683000
67cb2dc872da54e642224f76,,87.19,98.2,87.19,70.07,109;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1741368776000
67cb2da772da54e642224d2e,,82.39,95.45,82.39,64.57,103;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1741368743000
67b2c4ef6de0b0fec4793fd7,,83.98,96.36,87.98,81.59,105;3;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1739769071000
67b295ec6de0b0fec4778c31,,89.59,97.39,89.59,76.83,112;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1739757036000
67a12aa7dbed5525562e98d0,,97.59,98.39,97.59,81.02,122;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1738615463000
67a12a93dbed5525562e97c7,,78.39,92.45,78.39,73.42,98;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1738615443000
679fa7c5dbed5525561d4e79,,95.99,96.8,95.99,80.08,120;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1738516421000
679d40d1dbed5525560884ee,,83.18,96.3,83.18,68.25,104;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1738358993000
679d40bddbed552556088428,,93.59,98.32,93.59,80.76,117;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1738358973000
6796905149deeea627c9d5f9,,103.19,96.35,107.99,84.07,129;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1737920593000
6795a0d149deeea627c10574,,103.99,97.78,106.39,82.79,130;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1737859281000
679537b249deeea627be175e,,85.59,97.35,85.59,80.09,107;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1737832370000
6778ca879894964293e97931,,79.99,92.59,80.79,71.67,100;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1735969415000
6778ca6b9894964293e9785b,,53.59,82.22,63.99,63.5,67;4;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1735969387000
677570d89894964293cb93d1,,83.99,94.64,83.99,77.13,105;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1735749848000
6764c45b1df1c69f15779ceb,,74.39,91.18,74.39,63.51,93;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734657115000
676287c51df1c69f155d8970,,86.4,98.2,86.4,75.93,108;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734510533000
676279261df1c69f155cf9e1,,98.39,96.88,98.39,78.24,123;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734506790000
676243cb1df1c69f155b2188,,84.79,99.07,84.79,77.21,106;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734493131000
676243b81df1c69f155b20ef,,76.79,96.04,76.79,68.63,96;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734493112000
67621e141df1c69f1559f9aa,,76.78,90,79.98,72.43,96;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734483476000
676089571df1c69f15480c05,,102.39,98.46,102.39,87.6,128;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734379863000
675f4a7b1df1c69f1539f4bd,,87.19,97.35,87.19,69.02,109;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734298235000
675f4a671df1c69f1539f42c,,92.78,98.36,96.78,74.66,116;0;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734298215000
675e45091df1c69f1530b6e5,,92.8,99.15,92.8,76.5,116;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1734231305000
67538b0444765f7d6cab7736,,71.99,94.79,71.99,75.26,90;0;0;0,time,15,-1,0,15,0,0,false,false,english_1k,,normal,false,false,false,,1733528324000
67538aa244765f7d6cab7457,,97.58,96.83,97.58,74.73,122;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1733528226000
67521ccd44765f7d6c9a72b7,,95.99,96,95.99,74.96,120;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1733434573000
674e803686fa6e365f07c9a0,,99.99,97.66,99.99,75.47,125;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1733197878000
674836eb86fa6e365fc7e0af,,75.99,92.23,75.99,67.72,95;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732785899000
6742687586fa6e365f891cc4,,81.59,93.69,85.59,71.74,102;3;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732405365000
6742663686fa6e365f890f66,,71.19,93.33,71.19,63.13,89;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732404790000
673fa67a72e2e364f413015a,,77.6,95.1,77.6,75.28,97;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732224634000
673fa65f72e2e364f412fffc,,83.19,96.3,83.19,78.36,104;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732224607000
673fa5f772e2e364f412fb18,,87.18,96.46,87.18,80.69,109;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732224503000
673fa2dd72e2e364f412d65a,,95.99,98.36,95.99,78.53,120;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732223709000
673ce5c372e2e364f4efe872,,100.78,97.67,101.58,82.09,126;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732044227000
6737e286cb87917df27bebb1,,87.19,97.32,87.99,72.83,109;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1731715718000
67354ff0cb87917df25aed2d,,71.99,91.84,71.99,68.95,90;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1731547120000
672dad96cb87917df203a54c,,87.98,96.64,92.78,71.46,110;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1731046805000
672bf058cb87917df2ef2152,,70.4,88.89,70.4,73.01,88;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730932824000
672bf034cb87917df2ef200a,,82.39,97.22,82.39,78.36,103;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730932788000
672b0022cb87917df2e25ef6,,89.59,98.25,89.59,80.9,112;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730871330000
672b0002cb87917df2e25def,,82.39,92.79,82.39,70.07,103;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730871298000
672083f050538de2c25cb160,,94.39,98.33,94.39,73.78,118;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730184176000
671701e150538de2c2f3a410,,70.39,92,74.39,65.51,88;0;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1729561057000
671701ce50538de2c2f3a34a,,94.39,99.16,94.39,79.18,118;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1729561038000
671701bb50538de2c2f3a271,,79.99,92.66,79.99,79.61,100;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1729561019000
670d52ef3b43e6c05dfadb51,,79.99,91.82,83.19,75.78,100;1;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1728926447000
670d52d53b43e6c05dfad9ae,,90.4,98.28,90.4,80.84,113;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1728926421000
670d52c03b43e6c05dfad85e,,78.39,94.34,80.79,76.62,98;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1728926400000
670220823b43e6c05d7d8e4b,,89.58,98.25,89.58,85.75,112;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1728192642000
6700b56a3b43e6c05d7106a1,,99.99,98.43,99.99,81.77,125;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1728099690000
66ff3dd53b43e6c05d607082,,99.19,97.64,99.19,87.16,124;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1728003541000
66ff0c593b43e6c05d5ef3d1,,84.78,94.64,84.78,81.14,106;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1727990873000
66ff0c403b43e6c05d5ef2fe,,79.99,95.24,79.99,71.43,100;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1727990848000
66f9c52c66c51bbe14693bf7,true,64.78,96.43,64.78,74.08,81;0;0;0,time,15,-1,0,15,0,0,false,false,english_25k,,normal,false,false,false,,1727644972000
66f9c51766c51bbe14693b62,true,67.99,92.39,67.99,77.83,85;0;0;0,time,15,-1,0,15,0,0,false,false,english_10k,,normal,false,false,false,,1727644951000
66f9c4fe66c51bbe14693ab7,true,75.99,93.14,75.99,73.05,95;0;0;0,time,15,-1,0,15,0,0,false,false,english_5k,,normal,false,false,false,,1727644926000
66f9c4e966c51bbe14693a1c,,90.38,98.26,90.38,66.78,113;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1727644905000
66f8717566c51bbe145d0764,,99.19,97.64,99.19,85.14,124;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1727558005000
66f8714866c51bbe145d05fa,,76.4,93.4,79.6,73.67,191;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1727557960000
66f85b1c66c51bbe145c4c61,,73.99,89.95,73.99,64.18,185;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1727552284000
66f733a066c51bbe1451bd76,,85.2,94.27,85.2,67.69,213;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1727476640000
66f418e466c51bbe1429a33a,,84.79,95.58,84.79,73.73,212;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1727273188000
66f254d766c51bbe14130ca8,,89.99,98.26,89.99,81.15,225;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1727157462000
66f254ab66c51bbe14130b24,,92,97.58,98.4,87.15,115;0;2;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1727157419000
66ef9d3e66c51bbe14f52692,,96.78,97.58,96.78,76.85,121;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1726979390000
66ea43029f671a0853f27b56,,69.59,94,76.79,64.23,87;1;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1726628610000
66e50ce5b6e6096ba396fe94,,86.38,96.43,86.38,81.79,108;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1726287077000
66e3c8c27bdc8e96ca6721b8,,88.78,99.11,88.78,86.28,111;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1726204098000
66e3c0b87bdc8e96ca66d60b,,59.99,95.18,63.99,80.35,75;1;0;0,time,15,-1,0,15,0,0,false,false,english_450k,,normal,false,false,false,,1726202040000
66e3c0857bdc8e96ca66d41b,true,66.39,94.32,66.39,74.44,83;0;0;0,time,15,-1,0,15,0,0,false,false,english_450k,,normal,false,false,false,,1726201989000
66e355547bdc8e96ca632864,,103.19,100,103.19,87.4,129;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1726174548000
66e2535e7bdc8e96ca55a748,,93.58,98.32,93.58,75.44,117;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1726108510000
66e133047bdc8e96ca47a4d9,,79.99,94.5,79.99,70.08,100;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1726034692000
66ddf585191dd07a19972f03,,99.98,97.69,102.38,85.61,125;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1725822341000
66dcfc81191dd07a198e16f3,true,84.8,95.54,88,84.64,106;2;0;1,time,15,-1,0,15,0,0,false,false,english_1k,,normal,false,false,false,,1725758593000
66dcdd58191dd07a198d6a77,true,65.57,91.49,70.36,68.92,82;1;0;0,time,15,-1,0,15.01,0,0,false,false,english_1k,,normal,false,false,false,,1725750616000
66dcdd2d191dd07a198d6989,,91.19,95.87,93.59,78.54,114;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1725750573000
66dcdd17191dd07a198d6905,,93.59,99.16,93.59,85.84,117;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1725750551000
66dcdc30191dd07a198d63d1,,90.38,96.64,93.58,69.31,113;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1725750320000
66d8accd4b36e87ec53e5c2d,,92.79,95.08,92.79,77.17,116;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1725476045000
66d7336a4b36e87ec52d2714,true,82,94.93,82,71.85,410;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1725379434000
66d536024b36e87ec5187698,,75.39,91.81,76.59,66.48,377;2;0;1,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1725249026000
66d5359a4b36e87ec5187300,,87.19,95.65,87.19,75.87,109;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1725248922000
66d14aba4b36e87ec5f4fecb,,80.79,96.26,80.79,71.11,101;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1724992186000
66d071b64b36e87ec5eb2d66,,99.19,97.64,99.19,74.9,124;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1724936630000
66cf780c4b36e87ec5e1e0c4,,103.18,98.47,103.18,84.66,129;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1724872716000
66cd59cb251883fe34cf3f69,,91.95,96.8,97.54,82.66,115;0;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1724733899000
66cd597d251883fe34cf3c27,,106.38,99.26,106.38,80.49,133;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1724733821000
66cbfce1251883fe34c047b0,,79.99,98.04,79.99,77.09,100;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1724644577000
66cb64c9251883fe34bba61a,,92.79,96.67,92.79,74.59,116;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1724605641000
66c54dc5cbf6e3c60fe46ca5,,87.98,93.28,87.98,69.66,110;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1724206533000
66bd89b191888c3435ba772c,,92.78,96.69,92.78,70.85,116;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1723697585000
66b667bc6ec615499abe1111,,103.98,96.35,107.18,86.23,130;1;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1723230140000
668c22518fe0103e5f7f28d6,,72.79,80.49,95.98,84.45,91;14;3;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1720459857000
665d46a93f4cde2f9d171dcc,,90.38,96.58,90.38,74.7,113;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1717388969000
66515c3f6d1b0584d211bfd1,,69.57,97.75,69.57,66.6,87;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1716608063000
66450e5eaf89d82c26f12929,,95.19,97.58,99.18,83.2,119;3;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715801694000
66450e42af89d82c26f127a7,,66.38,89,71.98,57.37,83;1;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1715801666000
6645090baf89d82c26f0e470,,87.99,94.17,92.79,84.86,110;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715800331000
6643935f2b05a65a0530e502,,85.19,96.41,85.19,75.27,213;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1715704671000
664393382b05a65a0530e27e,,84.78,96.4,84.78,73.98,106;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715704632000
664393232b05a65a0530e15e,,93.58,93.7,93.58,71.44,117;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715704611000
6642e5552b05a65a0528b850,,91.98,95.12,96.78,85.78,115;4;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715660117000
6642de8c2b05a65a05287ce7,,76.78,93.46,83.18,71.11,96;3;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715658380000
66416c15866cd8bb799bc71c,,87.99,98.23,87.99,73.07,110;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715563541000
66416bfc866cd8bb799bc641,,92.79,97.48,92.79,78.67,116;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715563516000
66412ec3866cd8bb799a3255,,90.4,95.83,90.4,81.18,113;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715547843000
66412eb0866cd8bb799a31d1,,83.98,95.45,83.98,73.81,105;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715547824000
66412e9b866cd8bb799a3138,,89.59,94.92,89.59,66.9,112;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715547803000
664121f7866cd8bb7999d091,,95.18,99.17,95.18,80.64,119;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715544567000
663fbb82866cd8bb798ec747,,97.59,99.19,97.59,76.35,122;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715452802000
663fbb6b866cd8bb798ec67d,,99.18,96.88,99.18,77.01,124;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715452779000
663fbab6866cd8bb798ec072,true,106.39,100,106.39,84.12,133;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715452598000
663fba9b866cd8bb798ebf7a,,84.79,94.12,91.19,77.23,106;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1715452571000
